Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
02/02/2019,"Bridge Street Church",,0,2,0,0,0,0,0,15
02/02/2019,Southampton,,33,10,91.04,14.96,13,4,14,39
02/02/2019,"Floreffe Gare",,30,18,13.3,2.84,1,0,3,63
02/02/2019,"Fearon Hall",,0,2,300.79,21.38,5,3,1,15
02/02/2019,"Forres Repair Café",,0,1,0,0,0,0,0,12
31/01/2019,"Réparothon au Parcours Gouin",,0,5,0,0,0,0,0,24
28/01/2019,Brunnenviertel,,0,1,0,0,0,0,0,12
27/01/2019,"Prepare to Repair",,0,3,166.12,31.31,8,3,2,18
27/01/2019,"STPLN Sunday Repair",,0,3,109.5,21.8,2,1,0,18
26/01/2019,"Sportzaal Ymeria, Wijgmaal",,0,1,844.76,72.72,17,6,8,12
25/01/2019,Geneva,,1,1,23.85,7.05,1,0,0,12
24/01/2019,"VMA, Hringteigur",,0,8,176.26,4.25,5,9,2,33
20/01/2019,"Reading International Solidarity Centre (RISC)",,40,10,496.92,80.15,15,6,4,39
20/01/2019,"STPLN Sunday Repair",,5,4,131.15,2.52,2,2,1,21
20/01/2019,"Repair Café Haacht - Wakkerzeel",,0,1,0,0,0,0,0,12
19/01/2019,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",,40,9,237.05,37.2,15,20,4,36
19/01/2019,"Buckland United Reformed Church",,36,7,495.75,73.09,10,11,5,30
19/01/2019,"Crediton Methodist Church hall",,44,26,0,0,0,0,0,87
19/01/2019,Southampton,,0,1,0,0,0,0,0,12
17/01/2019,"Réparothon Jeunesse à l'école Édouard-Montpetit",,0,2,0,0,0,0,0,15
13/01/2019,"Upper Norwood Library",,38,12,720.76,34.09,20,11,4,45
13/01/2019,"STPLN Sunday Repair",,5,6,176.01,5.47,3,1,2,27
12/01/2019,"Porte aperte all'ENGIM",,1,2,9.44,1.19,1,1,0,15
12/01/2019,"Monkey Park",,20,8,265.17,28.62,11,4,2,33
08/01/2019,"Richmond Makerlabs Open Event",,0,2,0,0,0,0,0,15
06/01/2019,"Makespace Oxford",,0,1,0,0,0,0,0,12
06/01/2019,"STPLN Sunday Repair",,3,1,16.42,1.16,3,0,0,12
05/01/2019,"Aosta - Lo Pan Ner",,0,1,0,0,0,0,0,12
16/12/2018,"Repar Café Ter Vlierbeek",,0,1,0,0,0,0,0,12
16/12/2018,STPLN,,5,4,267.42,25.86,6,3,0,21
15/12/2018,Portsmouth,,47,10,884.1,53.43,13,4,3,39
09/12/2018,"Fixa Julen @ Stadsbiblioteket!",,21,6,345.11,15.76,4,2,0,27
08/12/2018,Tooting,,30,4,137.64,20.38,10,9,2,21
08/12/2018,"Monkey Park",,0,1,227.55,23.56,6,1,2,12
